INDEX,Trial,DrugName,Indications,DrugClass,Approval_FDA,Uniprot,GeneSymbol,Gene,ProteinName,TargetMainClass,TargetClass,Target_Novelty_VALIDATED
7,4SC-202,4SC-202,antineoplastic agent,Small molecule,not approved,Q92769,HDAC2_HUMAN,HDAC2,Histone deacetylase 2 OS=Homo sapiens GN=HDAC2 PE=1 SV=2,Enzymes,EC:3.5.1.98,Established target
7,4SC-202,4SC-202,antineoplastic agent,Small molecule,not approved,O15379,HDAC3_HUMAN,HDAC3,Histone deacetylase 3 OS=Homo sapiens GN=HDAC3 PE=1 SV=2,Enzymes,EC:3.5.1.98,Established target
7,4SC-202,4SC-202,antineoplastic agent,Small molecule,not approved,Q9BY41,HDAC8_HUMAN,HDAC8,Histone deacetylase 8 OS=Homo sapiens GN=HDAC8 PE=1 SV=2,Enzymes,EC:3.5.1.98,Established target
8,4SC-203,4SC-202,antineoplastic agent,Small molecule,not approved,P36888,FLT3_HUMAN,FLT3,FL cytokine receptor OS=Homo sapiens GN=FLT3 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
8,4SC-203,4SC-202,antineoplastic agent,Small molecule,not approved,P15692,VEGFA_HUMAN,VEGFA,Vascular endothelial growth factor A OS=Homo sapiens GN=VEGFA PE=1 SV=2,Ligand,Ligand;Growth factor,Established target
9,4SC-205,4SC-205,antineoplastic agent,Small molecule,not approved,P52732,KIF11_HUMAN,KIF11,Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5),Miscellaneous,Miscellaneous;motor protein,Novel Target
10,"768974, parathyroid hormone analog",768974,antiosteoporotic agent,Small molecule,not approved,Q03431,PTH1R_HUMAN,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor OS=Homo sapiens GN=PTH1R PE=1 SV=1,Receptors,GPCR;Secretin,Established target
11,"7a-methyl-19-nortestosterone,MENT","7a-methyl-19-nortestosterone,MENT","hormone replacement,male contraceptive",Small molecule,not approved,P10275,ANDR_HUMAN,AR,Androgen receptor OS=Homo sapiens GN=AR PE=1 SV=2,Receptors,Nuclear receptor,Established target
12,A-007,A-007 ,antineoplastic agent,Small molecule,not approved,P03372,ESR1_HUMAN,ESR1,Estrogen receptor OS=Homo sapiens GN=ESR1 PE=1 SV=2,Receptors,Nuclear receptor,Established target
12,A-007,A-007 ,antineoplastic agent,Small molecule,not approved,Q92731,ESR2_HUMAN,ESR2,Estrogen receptor beta OS=Homo sapiens GN=ESR2 PE=1 SV=2,Receptors,Nuclear receptor,Established target
13,A-623,blisibimod,antiinflammatory agent,fusion protein,not approved,Q9Y275,TN13B_HUMAN,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B (B lymphocyte stimulator) (BLyS) (B-cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (TNF- and APOL-related leukocyte expressed ligand 1) (TALL-1) (CD antigen CD257) [Cleaved int,Miscellaneous,Ligand;Cytokine,Established target
14,AA-2010,oxybutynin,for treatment of incontinence,Small molecule,not approved,P11229,ACM1_HUMAN,CHRM1,Muscarinic acetylcholine receptor M1 OS=Homo sapiens GN=CHRM1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
14,AA-2010,oxybutynin,for treatment of incontinence,Small molecule,not approved,P08172,ACM2_HUMAN,CHRM2,Muscarinic acetylcholine receptor M2 OS=Homo sapiens GN=CHRM2 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
14,AA-2010,oxybutynin,for treatment of incontinence,Small molecule,not approved,P20309,ACM3_HUMAN,CHRM3,Muscarinic acetylcholine receptor M3 OS=Homo sapiens GN=CHRM3 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
15,"AA2600, androgen transmucosal film",Testosterone,hormone replacement,Small Molecule,approved,P10275,ANDR_HUMAN,AR,Androgen receptor OS=Homo sapiens GN=AR PE=1 SV=2,Receptors,Nuclear receptor,Established target
16,"AAV-BNP gene therapy,Biostrophin",dystrophin,for treatment of Duchenne muscular dystrophy,adenoviral vector,not approved,P11532,DMD_HUMAN,DMD,Dystrophin,Miscellaneous,StructuralAndAdhesion;Cytoskeleton,Novel Target
17,AB-1001,not disclosed,antiemetic,unknown,approved,P46098,5HT3A_HUMAN,HTR3A,5-hydroxytryptamine receptor 3A OS=Homo sapiens GN=HTR3A PE=1 SV=1,Receptors,TC:1.A.9.2.1,Established target
17,AB-1001,not disclosed,antiemetic,unknown,approved,O95264,5HT3B_HUMAN,HTR3B,5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B),Receptors,TC:1.A.9,Established target
18,"abagovomab, MEN-2234, ACA 125",abagovomab,antineoplastic agent,monoclonal antibody,not approved,Q8WXI7,MUC16_HUMAN,MUC16,Mucin-16 (MUC-16) (Ovarian cancer-related tumor marker CA125) (CA-125) (Ovarian carcinoma antigen CA125),Miscellaneous,StructuralAndAdhesion;Mucin_16,Novel Target
19,"abarelix, Plenaxis",abarelix,antineoplastic agent,peptide,"approved, withdrawn",P30968,GNRHR_HUMAN,GNRHR,Gonadotropin-releasing hormone receptor OS=Homo sapiens GN=GNRHR PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
20,ABC294640,ABC294640 ,antineoplastic agent,Small molecule,not approved,Q9NYA1,SPHK1_HUMAN,SPHK1,Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91),Enzymes,EC:2.7.1.91,Novel Target
20,ABC294640,ABC294640 ,antineoplastic agent,Small molecule,not approved,Q9NRA0,SPHK2_HUMAN,SPHK2,Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91),Enzymes,EC:2.7.1.91,Novel Target
21,"abciximab, c7E3,ReoPro",abciximab,anticoagulant,monoclonal antibody,approved,P08514,ITA2B_HUMAN,ITGA2B,"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]",Receptors,Receptors;Integrin,Established target
21,"abciximab, c7E3,ReoPro",abciximab,anticoagulant,monoclonal antibody,approved,P05106,ITB3_HUMAN,ITGB3,Integrin beta-3 OS=Homo sapiens GN=ITGB3 PE=1 SV=2,Receptors,Receptors;Integrin,Established target
22,Abilify,Aripiprazole,antipsychotic agent,Small Molecule,approved,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
22,Abilify,Aripiprazole,antipsychotic agent,Small Molecule,approved,P08908,5HT1A_HUMAN,HTR1A,5-hydroxytryptamine receptor 1A OS=Homo sapiens GN=HTR1A PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
22,Abilify,Aripiprazole,antipsychotic agent,Small Molecule,approved,P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
23,Abraxane,paclitaxel,antineoplastic agent,Small Molecule,approved,P10415,BCL2_HUMAN,BCL2,Apoptosis regulator Bcl-2,other,regulator of apoptosis,Established target
23,Abraxane,paclitaxel,antineoplastic agent,Small Molecule,approved,Q9H4B7,TBB1_HUMAN,TUBB1,Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1,Miscellaneous,StructuralAndAdhesion;Cytoskeleton,Established target
24,ABT-263,"navitoclax, ABT-263",antineoplastic agent,Small molecule,not approved,P10415,BCL2_HUMAN,BCL2,Apoptosis regulator Bcl-2,other,regulator of apoptosis,Established target
24,ABT-263,"navitoclax, ABT-263",antineoplastic agent,Small molecule,not approved,Q07817,B2CL1_HUMAN,BCL2L1,Bcl-2-like protein 1,Miscellaneous,regulator of apoptosis,Novel Target
24,ABT-263,"navitoclax, ABT-263",antineoplastic agent,Small molecule,not approved,Q92843,B2CL2_HUMAN,BCL2L2,Bcl-2-like protein 2,Miscellaneous,regulator of apoptosis,Novel Target
25,"ABT-335, choline fenofibrate,TriLipix",fenofibrate,antidyslipidaemic agent,Small Molecule,approved,Q07869,PPARA_HUMAN,PPARA,Peroxisome proliferator-activated receptor alpha OS=Homo sapiens GN=PPARA PE=1 SV=2,Receptors,Nuclear receptor,Established target
26,ABT-510,ABT-510,antineoplastic agent,peptide,not approved,P16671,CD36_HUMAN,CD36,Platelet glycoprotein 4,Miscellaneous,Miscellaneous;glycoprotein,Novel Target
26,ABT-510,ABT-510,antineoplastic agent,peptide,not approved,Q08722,CD47_HUMAN,CD47,Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47),Miscellaneous,StructuralAndAdhesion;IG_AdhesionProteins,Novel Target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P07333,CSF1R_HUMAN,CSF1R,Macrophage colony-stimulating factor 1 receptor OS=Homo sapiens GN=CSF1R PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P17948,VGFR1_HUMAN,FLT1,Vascular endothelial growth factor receptor 1 OS=Homo sapiens GN=FLT1 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P36888,FLT3_HUMAN,FLT3,FL cytokine receptor OS=Homo sapiens GN=FLT3 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P35916,VGFR3_HUMAN,FLT4,Vascular endothelial growth factor receptor 3 OS=Homo sapiens GN=FLT4 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P35968,VGFR2_HUMAN,KDR,Vascular endothelial growth factor receptor 2 OS=Homo sapiens GN=KDR PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P10721,KIT_HUMAN,KIT,Mast/stem cell growth factor receptor OS=Homo sapiens GN=KIT PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P09619,PGFRB_HUMAN,PDGFRB,Beta-type platelet-derived growth factor receptor OS=Homo sapiens GN=PDGFRB PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,P07949,RET_HUMAN,RET,Proto-oncogene tyrosine-protein kinase receptor ret OS=Homo sapiens GN=RET PE=1 SV=3,Receptors,EC:2.7.10.1,Established target
27,"ABT-869, Linifanib",Linifanib,antineoplastic agent,Small molecule,not approved,Q02763,TIE2_HUMAN,TIE2,Angiopoietin-1 receptor (EC 2.7.10.1) (Tunica interna endothelial cell kinase) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b),Receptors,EC:2.7.10.1,Established target
28,ABX-0401,ABX-0401,antineoplastic agent,antibody fragment,not approved,P01375,TNFA_HUMAN,TNF,Tumor necrosis factor OS=Homo sapiens GN=TNF PE=1 SV=1,Miscellaneous,Ligand;Cytokine,Established target
29,"AC-100,Dentonin","AC-100,Dentonin",dental ossificant,peptide,not approved,P34995,PE2R1_HUMAN,PTGER1,Prostaglandin E2 receptor EP1 subtype OS=Homo sapiens GN=PTGER1 PE=2 SV=3,Receptors,GPCR;Rhodopsin,Established target
29,"AC-100,Dentonin","AC-100,Dentonin",periodontal ossificant,peptide,not approved,P43116,PE2R2_HUMAN,PTGER2,Prostaglandin E2 receptor EP2 subtype OS=Homo sapiens GN=PTGER2 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
29,"AC-100,Dentonin","AC-100,Dentonin",periodontal ossificant,peptide,not approved,P43115,PE2R3_HUMAN,PTGER3,Prostaglandin E2 receptor EP3 subtype OS=Homo sapiens GN=PTGER3 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
29,"AC-100,Dentonin","AC-100,Dentonin",periodontal ossificant,peptide,not approved,P35408,PE2R4_HUMAN,PTGER4,Prostaglandin E2 receptor EP4 subtype OS=Homo sapiens GN=PTGER4 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
30,AC-201,AC-201,antidiabetic,Small molecule,not approved,P01584,IL1B_HUMAN,IL1B,Interleukin-1 beta (IL-1 beta) (Catabolin),Miscellaneous,Ligand;Cytokine,Established target
30,AC-201,AC-201,antidiabetic,Small molecule,not approved,P18510,IL1RA_HUMAN,IL1RN,Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (ICIL-1RA) (IL1 inhibitor) (Anakinra),Receptors,Receptor; Type 1 cytokine receptor,Novel Target
31,AC-220,quizartinib,antineoplastic agent,Small molecule,not approved,P36888,FLT3_HUMAN,FLT3,FL cytokine receptor OS=Homo sapiens GN=FLT3 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
32,AC430,AC430,"antiinflammatory agent,antineoplastic agent",Small molecule,not approved,O60674,JAK2_HUMAN,JAK2,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),Enzymes,EC:2.7.10.2,Novel Target
33,AC480,AC480,antineoplastic agent,Small molecule,not approved,P00533,EGFR_HUMAN,EGFR,Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
33,AC480,AC480,antineoplastic agent,Small molecule,not approved,P04626,ERBB2_HUMAN,ERBB2,Receptor tyrosine-protein kinase erbB-2 OS=Homo sapiens GN=ERBB2 PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
33,AC480,AC480,antineoplastic agent,Small molecule,not approved,P21860,ERBB3_HUMAN,ERBB3,Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3),Receptors,EC:2.7.10.1,Novel Target
33,AC480,AC480,antineoplastic agent,Small molecule,not approved,Q15303,ERBB4_HUMAN,ERBB4,Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)],Receptors,EC:2.7.10.1,Novel Target
34,"acamprosate,Campral",acamprosate,for treatment of alcohol-dependance,Small Molecule,approved,Q8TCU5,NMD3A_HUMAN,GRIN3A,Glutamate [NMDA] receptor subunit 3A OS=Homo sapiens GN=GRIN3A PE=1 SV=2,Receptors,TC:1.A.10.1,Established target
34,"acamprosate,Campral",acamprosate,antineoplastic agent,Small Molecule,approved,P41594,GRM5_HUMAN,GRM5,Metabotropic glutamate receptor 5 (mGluR5),Receptors,GPCR;Glutamate,Established target
35,Acapodene,toremifene,"antineoplastic agent,SERM",Small Molecule,approved,P03372,ESR1_HUMAN,ESR1,Estrogen receptor OS=Homo sapiens GN=ESR1 PE=1 SV=2,Receptors,Nuclear receptor,Established target
36,"acarbose,Glucobay",acarbose,antidiabetic,Small Molecule,approved,P04746,AMYP_HUMAN,AMY2A,Pancreatic alpha-amylase OS=Homo sapiens GN=AMY2A PE=1 SV=2,Enzymes,EC:3.2.1.1,Established target
36,"acarbose,Glucobay",acarbose,antidiabetic,Small Molecule,approved,P10253,LYAG_HUMAN,GAA,Lysosomal alpha-glucosidase OS=Homo sapiens GN=GAA PE=1 SV=2,Enzymes,EC:3.2.1,Established target
36,"acarbose,Glucobay",acarbose,antidiabetic,Small Molecule,approved,O43451,MGA_HUMAN,MGAM,"Maltase-glucoamylase, intestinal OS=Homo sapiens GN=MGAM PE=1 SV=5",Enzymes,EC:3.2.1,Established target
36,"acarbose,Glucobay",acarbose,antidiabetic,Small Molecule,approved,P14410,SUIS_HUMAN,SI,"Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]",Enzymes,EC:3.2.1,Established target
37,"ACC-001,  Alzheimer's vaccine",ACC-001,for treatment of Alzheimer's disease,vaccine,not approved,P05067,A4_HUMAN,APP,Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-,Miscellaneous,Miscellaneous:Amyloid beta 4,Novel Target
38,ACCLAIM,organic nitrate + l-arginine,vasodilator,small molecule,not approved,P29474,NOS3_HUMAN,NOS3,"Nitric oxide synthase, endothelial OS=Homo sapiens GN=NOS3 PE=1 SV=3",Enzymes,EC:1.14.13.39,Established target
39,Accretropin,Acccretropin,for treatment of turnerïs syndrome,Small molecule,approved,P10912,GHR_HUMAN,GHR,Growth hormone receptor OS=Homo sapiens GN=GHR PE=1 SV=1,Receptors,Receptor; Type 1 cytokine receptor,Established target
40,ACE-011,ACE-011,"erythropoietic agent,antiosteoporotic agent",fusion protein,not approved,P27037,AVR2A_HUMAN,ACVR2A,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA),Receptors,EC:2.7.11.30,Novel Target
41,ACE-031,ACE-031,muscle mass and strength stimulating agent,fusion protein,not approved,Q13705,AVR2B_HUMAN,ACVR2B,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),Receptors,EC:2.7.11.30,Novel Target
42,ACE-041,dalantercept,"antineoplastic agent,antiangiogenic agent",fusion protein,not approved,P37023,ACVL1_HUMAN,ACVRL1,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),Receptors,EC:2.7.11.30,Novel Target
43,Aciphex,rabeprazole,Proton pump inhibitor,Small Molecule,approved,P20648,ATP4A_HUMAN,ATP4A,Potassium-transporting ATPase alpha chain 1 OS=Homo sapiens GN=ATP4A PE=2 SV=5,Transporters,TC:3.A.3.1.2,Established target
44,Aclidinium,aclidinium,bronchodilator,Small molecule,not approved,P11229,ACM1_HUMAN,CHRM1,Muscarinic acetylcholine receptor M1 OS=Homo sapiens GN=CHRM1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
44,Aclidinium,aclidinium,bronchodilator,Small molecule,not approved,P08172,ACM2_HUMAN,CHRM2,Muscarinic acetylcholine receptor M2 OS=Homo sapiens GN=CHRM2 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
44,Aclidinium,aclidinium,bronchodilator,Small molecule,not approved,P20309,ACM3_HUMAN,CHRM3,Muscarinic acetylcholine receptor M3 OS=Homo sapiens GN=CHRM3 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
44,Aclidinium,aclidinium,bronchodilator,Small molecule,not approved,P08173,ACM4_HUMAN,CHRM4,Muscarinic acetylcholine receptor M4 OS=Homo sapiens GN=CHRM4 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
44,Aclidinium,aclidinium,bronchodilator,Small molecule,not approved,P08912,ACM5_HUMAN,CHRM5,Muscarinic acetylcholine receptor M5 OS=Homo sapiens GN=CHRM5 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
45,"acotiamide hydrochloride, YM-443, Z-338",acotiamide,for treatment of functional dyspepsia,Small molecule,not approved,P22303,ACES_HUMAN,ACHE,Acetylcholinesterase OS=Homo sapiens GN=ACHE PE=1 SV=1,Enzymes,EC:3.1.1.7,Established target
46,ACP-001,ACP-001,hormone replacement,Small molecule,not approved,P10912,GHR_HUMAN,GHR,Growth hormone receptor OS=Homo sapiens GN=GHR PE=1 SV=1,Receptors,Receptor; Type 1 cytokine receptor,Established target
47,ACP-104,ACP-104,antipsychotic agent,Small molecule,not approved,P11229,ACM1_HUMAN,CHRM1,Muscarinic acetylcholine receptor M1 OS=Homo sapiens GN=CHRM1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
47,ACP-104,ACP-104,antipsychotic agent,Small molecule,not approved,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
47,ACP-104,ACP-104,antipsychotic agent,Small molecule,not approved,P35462,DRD3_HUMAN,DRD3,D(3) dopamine receptor OS=Homo sapiens GN=DRD3 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
47,ACP-104,ACP-104,antipsychotic agent,Small molecule,not approved,P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
48,ACTB1003,ACTB1003,antineoplastic agent,Small molecule,not approved,P11362,FGFR1_HUMAN,FGFR1,Basic fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 2) (FLT-2) (Proto-oncogene c-Fgr) (CD antigen CD331),Receptors,EC:2.7.10.1,Established target
48,ACTB1003,ACTB1003,antineoplastic agent,Small molecule,not approved,P21802,FGFR2_HUMAN,FGFR2,Fibroblast growth factor receptor 2 OS=Homo sapiens GN=FGFR2 PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
48,ACTB1003,ACTB1003,antineoplastic agent,Small molecule,not approved,P22607,FGFR3_HUMAN,FGFR3,Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1,Receptors,EC:2.7.10.1,Established target
48,ACTB1003,ACTB1003,antineoplastic agent,Small molecule,not approved,P22455,FGFR4_HUMAN,FGFR4,Fibroblast growth factor receptor 4 OS=Homo sapiens GN=FGFR4 PE=1 SV=2,Receptors,EC:2.7.10.1,Established target
48,ACTB1003,ACTB1003,antineoplastic agent,Small molecule,not approved,P23443 ,KS6B1_HUMAN,RPS6KB1,Ribosomal protein S6 kinase beta-1,Enzymes,EC:2.7.11.1,Novel Target
49,ACY-1215,ACY-1215,antineoplastic agent,Small molecule,not approved,Q9UBN7,HDAC6_HUMAN,HDAC6,Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2,Enzymes,EC:3.5.1.98,Established target
50,AD 337,AD 337,"analgesic,for treatment of fibromyalgia",Small molecule,not approved,P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter OS=Homo sapiens GN=SLC6A2 PE=1 SV=1,Transporters,TC:2.A.22.1.2,Established target
50,AD 337,AD 337,"analgesic,for treatment of fibromyalgia",Small molecule,not approved,P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1,Transporters,TC:2.A.22.1.1,Established target
51,AD 923,fentanyl,analgesic,Small Molecule,approved,P41143,OPRD_HUMAN,OPRD1,Delta-type opioid receptor OS=Homo sapiens GN=OPRD1 PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
51,AD 923,fentanyl,analgesic,Small Molecule,approved,P35372,OPRM_HUMAN,OPRM1,Mu-type opioid receptor OS=Homo sapiens GN=OPRM1 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
52,AD01,AD01,"for treatment of Alzheimer's disease,vaccine",vaccine,not approved,P05067,A4_HUMAN,APP,Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-,Miscellaneous,Miscellaneous:Amyloid beta 4,Novel Target
53,"ADC4022, low-dose inhaled theophylline",theophylline,bronchodilator,Small Molecule,approved,P30542,AA1R_HUMAN,ADORA1,Adenosine receptor A1 OS=Homo sapiens GN=ADORA1 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
53,"ADC4022, low-dose inhaled theophylline",theophylline,bronchodilator,Small Molecule,approved,P29274,AA2AR_HUMAN,ADORA2A,Adenosine receptor A2a OS=Homo sapiens GN=ADORA2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
