#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
PDGFB,PDGFRB,1851250,1844996,9606.ENSP00000330382,9606.ENSP00000261799,0,0,0,0,0,0.998,0.9,0.832,0,0.999
GRB2,KIT,1852164,1847112,9606.ENSP00000339007,9606.ENSP00000288135,0,0,0,0,0,0.998,0.9,0.637,0,0.999
SHC1,RET,1860266,1853238,9606.ENSP00000401303,9606.ENSP00000347942,0,0,0,0,0,0.921,0.9,0.9,0,0.999
TYMS,methotrexate,1849803,-100004112,9606.ENSP00000315644,-1.CID100004112,0,0,0,0,0,0.892,0.9,0.912,0,0.999
ADRB1,isoproterenol,1854995,-100003779,9606.ENSP00000358301,-1.CID100003779,0,0,0,0,0,0.977,0.9,0.961,0,0.999
PDGFRA,imatinib,1844502,-100005291,9606.ENSP00000257290,-1.CID100005291,0,0,0,0,0,0.936,0.9,0.982,0,0.999
KIT,PIK3R1,1847112,1846375,9606.ENSP00000288135,9606.ENSP00000274335,0,0,0,0,0,0.997,0.9,0.235,0,0.999
GRB2,PDGFRB,1852164,1844996,9606.ENSP00000339007,9606.ENSP00000261799,0,0,0,0,0,0.965,0.9,0.934,0,0.999
KDR,sorafenib,1845437,-100216239,9606.ENSP00000263923,-1.CID100216239,0,0,0,0,0,0.973,0.8,0.938,0,0.999
HMGCR,simvastatin,1847097,-100054454,9606.ENSP00000287936,-1.CID100054454,0,0,0,0,0,0.919,0.9,0.978,0,0.999
OPRM1,buprenorphine,1859815,-100002476,9606.ENSP00000394624,-1.CID100002476,0,0,0,0,0,0.994,0.9,0.97,0.264,0.999
BRAF,RAF1,1847131,1844086,9606.ENSP00000288602,9606.ENSP00000251849,0,0,0,0.958,0,0.999,0.9,0.636,0,0.999
KIT,KITLG,1847112,1843134,9606.ENSP00000288135,9606.ENSP00000228280,0,0,0,0,0,0.991,0.9,0.973,0,0.999
SHC1,KDR,1860266,1845437,9606.ENSP00000401303,9606.ENSP00000263923,0,0,0,0,0,0.967,0.9,0.933,0,0.999
DHFR,trimethoprim,1859928,-100005578,9606.ENSP00000396308,-1.CID100005578,0,0,0,0,0,0.966,0.8,0.989,0,0.999
FKBP1A,tacrolimus,1857423,-100005372,9606.ENSP00000371138,-1.CID100005372,0,0,0,0,0,0.893,0.9,0.978,0,0.999
GRB2,CBL,1852164,1845465,9606.ENSP00000339007,9606.ENSP00000264033,0,0,0,0,0,0.999,0.9,0.901,0,0.999
NRAS,RAF1,1855051,1844086,9606.ENSP00000358548,9606.ENSP00000251849,0,0,0,0,0,0.978,0.9,0.925,0,0.999
HMGCR,Statins,1847097,-100002676,9606.ENSP00000287936,-1.CID100002676,0,0,0,0,0,0.976,0.9,0.981,0,0.999
SSTR2,octreotide,1853555,-100054373,9606.ENSP00000350198,-1.CID100054373,0,0,0,0,0,0.99,0.8,0.957,0.174,0.999
FKBP1A,MTOR,1857423,1854147,9606.ENSP00000371138,9606.ENSP00000354558,0,0,0,0,0,0.999,0.9,0.989,0,0.999
PDGFRB,PLCG1,1844996,1843693,9606.ENSP00000261799,9606.ENSP00000244007,0,0,0,0,0,0.999,0.9,0.874,0,0.999
ABL1,GRB2,1855665,1852164,9606.ENSP00000361423,9606.ENSP00000339007,0,0,0,0.778,0.106,0.999,0.8,0.963,0,0.999
ABL1,imatinib,1855665,-100005291,9606.ENSP00000361423,-1.CID100005291,0,0,0,0,0,0.963,0.9,0.983,0,0.999
SSTR5,octreotide,1847454,-100054373,9606.ENSP00000293897,-1.CID100054373,0,0,0,0,0,0.929,0.8,0.939,0.174,0.999
PTGS2,diclofenac,1854602,-100003032,9606.ENSP00000356438,-1.CID100003032,0,0,0,0,0,0.936,0.9,0.932,0,0.999
HRAS,BRAF,1849235,1847131,9606.ENSP00000309845,9606.ENSP00000288602,0,0,0,0,0,0.984,0.9,0.881,0,0.999
PTPN11,GRB2,1852389,1852164,9606.ENSP00000340944,9606.ENSP00000339007,0,0,0,0.673,0,0.999,0.9,0.994,0,0.999
CRKL,CBL,1853038,1845465,9606.ENSP00000346300,9606.ENSP00000264033,0,0,0,0,0,0.999,0.9,0.768,0,0.999
HSP90AA1,NR3C1,1851814,1843294,9606.ENSP00000335153,9606.ENSP00000231509,0,0,0,0,0,0.999,0.9,0.835,0,0.999
FKBP1A,TGFBR1,1857423,1856216,9606.ENSP00000371138,9606.ENSP00000364133,0,0,0,0,0,0.997,0.9,0.846,0,0.999
PLG,EACA,1849130,-100000564,9606.ENSP00000308938,-1.CID100000564,0,0,0,0,0,0.8,0.9,0.952,0,0.999
KIT,imatinib,1847112,-100005291,9606.ENSP00000288135,-1.CID100005291,0,0,0,0,0,0.928,0.9,0.978,0,0.999
PDGFRB,sorafenib,1844996,-100216239,9606.ENSP00000261799,-1.CID100216239,0,0,0,0,0,0.93,0.8,0.943,0,0.999
VEGFA,FLT1,1855611,1846791,9606.ENSP00000361125,9606.ENSP00000282397,0,0,0,0,0,0.999,0.9,0.986,0,0.999
HMGCR,lovastatin,1847097,-100003962,9606.ENSP00000287936,-1.CID100003962,0,0,0,0,0,0.929,0.9,0.964,0,0.999
HMGCR,pravastatin,1847097,-100004889,9606.ENSP00000287936,-1.CID100004889,0,0,0,0,0,0.885,0.9,0.947,0,0.999
HRAS,RASA1,1849235,1846381,9606.ENSP00000309845,9606.ENSP00000274376,0,0,0,0,0.113,0.996,0.9,0.67,0,0.999
RASA1,PDGFRB,1846381,1844996,9606.ENSP00000274376,9606.ENSP00000261799,0,0,0,0,0,0.999,0.9,0.302,0,0.999
VEGFC,KDR,1846658,1845437,9606.ENSP00000280193,9606.ENSP00000263923,0,0,0,0,0,0.991,0.9,0.961,0,0.999
PDE5A,tadalafil,1853125,-100110635,9606.ENSP00000347046,-1.CID100110635,0,0,0,0,0,0.944,0.9,0.961,0,0.999
OPRM1,naltrexone,1859815,-100004428,9606.ENSP00000394624,-1.CID100004428,0,0,0,0,0,0.992,0.9,0.986,0,0.999
CBL,PLCG1,1845465,1843693,9606.ENSP00000264033,9606.ENSP00000244007,0,0,0,0,0,0.999,0.9,0.471,0,0.999
FKBP1A,rapamycin,1857423,-100005040,9606.ENSP00000371138,-1.CID100005040,0,0,0,0,0,0.872,0.9,0.988,0,0.999
ABL1,CRKL,1855665,1853038,9606.ENSP00000361423,9606.ENSP00000346300,0,0,0,0.647,0,0.999,0.8,0.986,0,0.999
OPRM1,endomorphin-2,1859815,-105311081,9606.ENSP00000394624,-1.CID105311081,0,0,0,0,0,0.995,0.8,0.976,0,0.999
TYMS,dUMP,1849803,-100000688,9606.ENSP00000315644,-1.CID100000688,0,0,0,0,0,0.948,0.9,0.982,0,0.999
PTGS2,celecoxib,1854602,-100002662,9606.ENSP00000356438,-1.CID100002662,0,0,0,0,0,0.949,0.9,0.979,0,0.999
DPYD,5-fluorouracil,1855189,-100003385,9606.ENSP00000359211,-1.CID100003385,0,0,0,0,0,0.955,0.9,0.981,0,0.999
SSTR4,octreotide,1844347,-100054373,9606.ENSP00000255008,-1.CID100054373,0,0,0,0,0,0.953,0.8,0.94,0.174,0.999
NR3C1,cortisol,1843294,-100003640,9606.ENSP00000231509,-1.CID100003640,0,0,0,0,0,0.8,0.9,0.971,0.142,0.999
BAD,RAF1,1849142,1844086,9606.ENSP00000309103,9606.ENSP00000251849,0,0,0,0,0,0.998,0.9,0.254,0,0.999
HRAS,RAF1,1849235,1844086,9606.ENSP00000309845,9606.ENSP00000251849,0,0,0,0,0,0.999,0.9,0.985,0,0.999
PDGFRB,sunitinib,1844996,-103086686,9606.ENSP00000261799,-1.CID103086686,0,0,0,0,0,0.914,0.8,0.974,0,0.999
ABL1,CBL,1855665,1845465,9606.ENSP00000361423,9606.ENSP00000264033,0,0,0,0,0,0.999,0.8,0.623,0,0.999
OPRM1,naltrindole,1859815,-100004430,9606.ENSP00000394624,-1.CID100004430,0,0,0,0,0,0.968,0.8,0.978,0,0.999
GRB2,PIK3R1,1852164,1846375,9606.ENSP00000339007,9606.ENSP00000274335,0,0,0,0,0,0.999,0.9,0.48,0,0.999
MTOR,rapamycin,1854147,-100005040,9606.ENSP00000354558,-1.CID100005040,0,0,0,0,0,0.912,0.9,0.991,0,0.999
VEGFA,KDR,1855611,1845437,9606.ENSP00000361125,9606.ENSP00000263923,0,0,0,0,0,0.999,0.9,0.986,0,0.999
YWHAZ,BAD,1849183,1849142,9606.ENSP00000309503,9606.ENSP00000309103,0,0,0,0,0,0.994,0.9,0.101,0,0.999
DHFR,methotrexate,1859928,-100004112,9606.ENSP00000396308,-1.CID100004112,0,0,0,0,0,0.995,0.9,0.998,0,0.999
VEGFA,NRP1,1855611,1845737,9606.ENSP00000361125,9606.ENSP00000265371,0,0,0,0,0,0.999,0,0.953,0,0.999
KRAS,RAF1,1844404,1844086,9606.ENSP00000256078,9606.ENSP00000251849,0,0,0,0,0,0.999,0.9,0.993,0,0.999
PTPN11,PDGFRB,1852389,1844996,9606.ENSP00000340944,9606.ENSP00000261799,0,0,0,0,0,0.999,0.9,0.952,0,0.999
OPRM1,morphine,1859815,-100004253,9606.ENSP00000394624,-1.CID100004253,0,0,0,0,0,0.977,0.9,0.999,0.101,0.999
PPP3CA,tacrolimus,1858236,-100005372,9606.ENSP00000378323,-1.CID100005372,0,0,0,0,0,0.891,0.9,0.874,0,0.998
DHFR,leucovorin,1859928,-100000143,9606.ENSP00000396308,-1.CID100000143,0,0,0,0,0,0.674,0.9,0.963,0,0.998
KIT,sunitinib,1847112,-103086686,9606.ENSP00000288135,-1.CID103086686,0,0,0,0,0,0.914,0.8,0.922,0,0.998
RET,sorafenib,1853238,-100216239,9606.ENSP00000347942,-1.CID100216239,0,0,0,0,0,0.923,0.8,0.912,0,0.998
ABCG2,mitoxantrone,1843466,-100004212,9606.ENSP00000237612,-1.CID100004212,0,0,0,0,0,0,0.9,0.989,0,0.998
NR3C1,dexamethasone,1843294,-100003003,9606.ENSP00000231509,-1.CID100003003,0,0,0,0,0,0.909,0.9,0.796,0,0.998
FLT3,sorafenib,1843598,-100216239,9606.ENSP00000241453,-1.CID100216239,0,0,0,0,0,0.91,0.8,0.918,0,0.998
FLT3,sunitinib,1843598,-103086686,9606.ENSP00000241453,-1.CID103086686,0,0,0,0,0,0.914,0.8,0.914,0,0.998
TK1,thymidine,1848315,-100001134,9606.ENSP00000301634,-1.CID100001134,0,0,0,0,0,0.869,0.9,0.867,0,0.998
SSTR3,octreotide,1851219,-100054373,9606.ENSP00000330138,-1.CID100054373,0,0,0,0,0,0.917,0.8,0.905,0.174,0.998
SSTR1,octreotide,1845937,-100054373,9606.ENSP00000267377,-1.CID100054373,0,0,0,0,0,0.908,0.8,0.932,0.174,0.998
PLG,tranexamic acid,1849130,-100005526,9606.ENSP00000308938,-1.CID100005526,0,0,0,0,0,0.8,0.9,0.926,0,0.998
CRKL,PIK3R1,1853038,1846375,9606.ENSP00000346300,9606.ENSP00000274335,0,0,0,0,0,0.984,0.9,0.176,0,0.998
HTR1B,dihydroergotam.,1855143,-100003066,9606.ENSP00000358963,-1.CID100003066,0,0,0,0,0,0.989,0.8,0.311,0,0.998
CRKL,BCR,1853038,1848539,9606.ENSP00000346300,9606.ENSP00000303507,0,0,0,0,0,0.961,0.9,0.677,0,0.998
NR1H4,UDCA,1862381,-100005645,9606.ENSP00000447149,-1.CID100005645,0,0,0,0,0,0.837,0.8,0.945,0,0.998
TOP2A,TOP2B,1860923,1859958,9606.ENSP00000411532,9606.ENSP00000396704,0.608,0,0,0.977,0.288,0.993,0,0.924,0,0.998
DHFR,TYMS,1859928,1849803,9606.ENSP00000396308,9606.ENSP00000315644,0.462,0,0.51,0,0.086,0,0.9,0.937,0,0.998
PDGFB,PDGFRA,1851250,1844502,9606.ENSP00000330382,9606.ENSP00000257290,0,0,0,0,0,0.961,0.9,0.645,0,0.998
CHRM3,atropine,1844372,-100003661,9606.ENSP00000255380,-1.CID100003661,0,0,0,0,0,0.985,0.8,0.473,0,0.998
RET,GRB2,1853238,1852164,9606.ENSP00000347942,9606.ENSP00000339007,0,0,0,0,0,0.967,0.9,0.674,0,0.998
OPRM1,loperamide,1859815,-100003954,9606.ENSP00000394624,-1.CID100003954,0,0,0,0,0,0.975,0.9,0.548,0,0.998
ACHE,neostigmine,1848506,-100004456,9606.ENSP00000303211,-1.CID100004456,0,0,0,0,0,0.952,0.9,0.644,0,0.998
NRAS,BRAF,1855051,1847131,9606.ENSP00000358548,9606.ENSP00000288602,0,0,0,0,0,0.833,0.9,0.912,0,0.998
TOP2B,etoposide,1859958,-100003310,9606.ENSP00000396704,-1.CID100003310,0,0,0,0,0,0.8,0.8,0.963,0,0.998
GRB2,PLCG1,1852164,1843693,9606.ENSP00000339007,9606.ENSP00000244007,0,0,0,0.71,0,0.981,0.9,0.921,0,0.998
ADRB1,metoprolol,1854995,-100004171,9606.ENSP00000358301,-1.CID100004171,0,0,0,0,0,0.737,0.9,0.942,0,0.998
PTGS1,celecoxib,1854170,-100002662,9606.ENSP00000354612,-1.CID100002662,0,0,0,0,0,0.876,0.9,0.916,0,0.998
POMC,cortisol,1845600,-100003640,9606.ENSP00000264708,-1.CID100003640,0,0,0,0,0,0,0.9,0.987,0,0.998
HCAR2,niacin,1857878,-100000937,9606.ENSP00000375066,-1.CID100000937,0,0,0,0,0,0.807,0.9,0.944,0,0.998
CSF1R,imatinib,1847002,-100005291,9606.ENSP00000286301,-1.CID100005291,0,0,0,0,0,0.931,0.8,0.901,0,0.998
KDR,sunitinib,1845437,-103086686,9606.ENSP00000263923,-1.CID103086686,0,0,0,0,0,0.913,0.8,0.91,0.105,0.998
KIT,sorafenib,1847112,-100216239,9606.ENSP00000288135,-1.CID100216239,0,0,0,0,0,0.885,0.8,0.911,0,0.997
TYMS,leucovorin,1849803,-100000143,9606.ENSP00000315644,-1.CID100000143,0,0,0,0,0,0.69,0.9,0.914,0,0.997
PTGS2,meloxicam,1854602,-100004051,9606.ENSP00000356438,-1.CID100004051,0,0,0,0,0,0.885,0.8,0.912,0,0.997
sildenafil,tadalafil,-100005212,-100110635,-1.CID100005212,-1.CID100110635,0,0,0,0,0,0.532,0,0.995,0,0.997
KIT,pazopanib,1847112,-110113978,9606.ENSP00000288135,-1.CID110113978,0,0,0,0,0,0.897,0.8,0.889,0,0.997
NR3C1,prednisolone,1843294,-100004894,9606.ENSP00000231509,-1.CID100004894,0,0,0,0,0,0.9,0.9,0.802,0,0.997
TYMP,thymidine,1844096,-100001134,9606.ENSP00000252029,-1.CID100001134,0,0,0,0,0,0.69,0.9,0.919,0.097,0.997
GRB2,KDR,1852164,1845437,9606.ENSP00000339007,9606.ENSP00000263923,0,0,0,0,0,0.827,0.9,0.878,0,0.997
TOP2A,etoposide,1860923,-100003310,9606.ENSP00000411532,-1.CID100003310,0,0,0,0,0,0,0.9,0.976,0,0.997
PIK3R1,PDGFRA,1846375,1844502,9606.ENSP00000274335,9606.ENSP00000257290,0,0,0,0,0,0.963,0.9,0.358,0,0.997
CHRM4,atropine,1860789,-100003661,9606.ENSP00000409378,-1.CID100003661,0,0,0,0,0,0.986,0.8,0.263,0,0.997
KDR,pazopanib,1845437,-110113978,9606.ENSP00000263923,-1.CID110113978,0,0,0,0,0,0.877,0.8,0.898,0,0.997
PTPN11,CBL,1852389,1845465,9606.ENSP00000340944,9606.ENSP00000264033,0,0,0,0,0,0.915,0.9,0.694,0,0.997
PGF,VEGFA,1862737,1855611,9606.ENSP00000451040,9606.ENSP00000361125,0,0,0,0.89,0,0.973,0.9,0.972,0,0.997
DCK,gemcitabine,1847023,-100003461,9606.ENSP00000286648,-1.CID100003461,0,0,0,0,0,0.846,0.9,0.852,0,0.997
HRH2,cimetidine,1856654,-100002756,9606.ENSP00000366506,-1.CID100002756,0,0,0,0,0,0.579,0.9,0.95,0,0.997
CHRM1,atropine,1848849,-100003661,9606.ENSP00000306490,-1.CID100003661,0,0,0,0,0,0.986,0.8,0.268,0,0.997
MTHFR,folate,1856524,-100003405,9606.ENSP00000365775,-1.CID100003405,0,0,0,0,0,0,0.7,0.993,0,0.997
RAF1,sorafenib,1844086,-100216239,9606.ENSP00000251849,-1.CID100216239,0,0,0,0,0,0.899,0.8,0.884,0,0.997
ALDH2,glyceryl trini.,1844978,-100004510,9606.ENSP00000261733,-1.CID100004510,0,0,0,0,0,0.8,0.9,0.883,0,0.997
FLT1,sunitinib,1846791,-103086686,9606.ENSP00000282397,-1.CID103086686,0,0,0,0,0,0.913,0.8,0.876,0,0.997
ACHE,atropine,1848506,-100003661,9606.ENSP00000303211,-1.CID100003661,0,0,0,0,0,0.857,0.9,0.849,0,0.997
NFATC1,tacrolimus,1850967,-100005372,9606.ENSP00000327850,-1.CID100005372,0,0,0,0,0,0,0.9,0.978,0,0.997
CHRM2,atropine,1850196,-100003661,9606.ENSP00000319984,-1.CID100003661,0,0,0,0,0,0.979,0.8,0.474,0,0.997
SHC1,FLT1,1860266,1846791,9606.ENSP00000401303,9606.ENSP00000282397,0,0,0,0,0,0.641,0.9,0.906,0,0.996
PDGFRB,PDGFRA,1844996,1844502,9606.ENSP00000261799,9606.ENSP00000257290,0,0,0,0.923,0,0.963,0.9,0.871,0,0.996
PTPN11,KDR,1852389,1845437,9606.ENSP00000340944,9606.ENSP00000263923,0,0,0,0,0,0.583,0.9,0.926,0,0.996
rapamycin,everolimus,-100005040,-100176872,-1.CID100005040,-1.CID100176872,0,0,0,0.981,0,0.9,0,0.963,0,0.996
BAD,YWHAQ,1849142,1843478,9606.ENSP00000309103,9606.ENSP00000238081,0,0,0,0,0,0.963,0.9,0.041,0,0.996
PTGS1,meloxicam,1854170,-100004051,9606.ENSP00000354612,-1.CID100004051,0,0,0,0,0,0.827,0.8,0.878,0,0.995
BRAF,YWHAQ,1847131,1843478,9606.ENSP00000288602,9606.ENSP00000238081,0,0,0,0,0,0.956,0.9,0.047,0,0.995
HRAS,PIK3R1,1849235,1846375,9606.ENSP00000309845,9606.ENSP00000274335,0,0,0,0,0,0.936,0.9,0.414,0,0.995
HSP90AA1,KDR,1851814,1845437,9606.ENSP00000335153,9606.ENSP00000263923,0,0,0,0,0,0.6,0.9,0.904,0,0.995
RAP1A,BRAF,1853349,1847131,9606.ENSP00000348786,9606.ENSP00000288602,0,0,0,0,0,0.836,0.9,0.726,0,0.995
ABL1,HSP90AA1,1855665,1851814,9606.ENSP00000361423,9606.ENSP00000335153,0,0,0,0,0,0.953,0,0.897,0,0.995
PDGFRA,sorafenib,1844502,-100216239,9606.ENSP00000257290,-1.CID100216239,0,0,0,0,0,0.935,0.7,0.708,0,0.994
ABCG2,doxorubicin,1843466,-100001690,9606.ENSP00000237612,-1.CID100001690,0,0,0,0,0,0,0.7,0.982,0,0.994
Statins,simvastatin,-100002676,-100054454,-1.CID100002676,-1.CID100054454,0,0,0,0,0,0.441,0,0.989,0,0.994
PDGFRA,sunitinib,1844502,-103086686,9606.ENSP00000257290,-1.CID103086686,0,0,0,0,0,0.914,0.8,0.722,0,0.994
TYMP,5-fluorouracil,1844096,-100003385,9606.ENSP00000252029,-1.CID100003385,0,0,0,0,0,0,0.9,0.941,0.104,0.994
FLT1,PLCG1,1846791,1843693,9606.ENSP00000282397,9606.ENSP00000244007,0,0,0,0,0,0.924,0.9,0.336,0,0.994
PTGS2,meclofenamate,1854602,-100004036,9606.ENSP00000356438,-1.CID100004036,0,0,0,0,0,0.804,0.8,0.866,0,0.994
SHC1,PDGFRB,1860266,1844996,9606.ENSP00000401303,9606.ENSP00000261799,0,0,0,0,0,0.648,0.8,0.924,0,0.994
MTOR,everolimus,1854147,-100176872,9606.ENSP00000354558,-1.CID100176872,0,0,0,0,0,0,0.9,0.943,0,0.994
KDR,PLCG1,1845437,1843693,9606.ENSP00000263923,9606.ENSP00000244007,0,0,0,0,0,0.914,0.9,0.381,0,0.994
BCR,CBL,1848539,1845465,9606.ENSP00000303507,9606.ENSP00000264033,0,0,0,0,0,0.935,0.8,0.581,0,0.994
CBL,KDR,1845465,1845437,9606.ENSP00000264033,9606.ENSP00000263923,0,0,0,0,0,0.917,0.9,0.33,0,0.993
GRB2,CSF1R,1852164,1847002,9606.ENSP00000339007,9606.ENSP00000286301,0,0,0,0,0,0.926,0.8,0.558,0,0.993
PTPN11,PIK3R1,1852389,1846375,9606.ENSP00000340944,9606.ENSP00000274335,0,0,0,0,0,0.912,0.9,0.36,0,0.993
CBL,PDGFRB,1845465,1844996,9606.ENSP00000264033,9606.ENSP00000261799,0,0,0,0,0,0.853,0.9,0.581,0,0.993
CHRM3,N-methylscopol.,1844372,-100004120,9606.ENSP00000255380,-1.CID100004120,0,0,0,0,0,0.917,0.8,0.403,0.36,0.993
rapamycin,tacrolimus,-100005040,-100005372,-1.CID100005040,-1.CID100005372,0,0,0,0.671,0,0,0,0.993,0,0.993
PDGFRB,pazopanib,1844996,-110113978,9606.ENSP00000261799,-1.CID110113978,0,0,0,0,0,0.898,0.8,0.705,0,0.993
pravastatin,simvastatin,-100004889,-100054454,-1.CID100004889,-1.CID100054454,0,0,0,0.89,0,0.441,0,0.986,0,0.992
TYMS,folate,1849803,-100003405,9606.ENSP00000315644,-1.CID100003405,0,0,0,0,0,0.752,0,0.971,0,0.992
EACA,tranexamic acid,-100000564,-100005526,-1.CID100000564,-1.CID100005526,0,0,0,0.875,0,0.514,0,0.985,0,0.992
CHRM2,N-methylscopol.,1850196,-100004120,9606.ENSP00000319984,-1.CID100004120,0,0,0,0,0,0.912,0.8,0.426,0.302,0.992
MTOR,HSP90AA1,1854147,1851814,9606.ENSP00000354558,9606.ENSP00000335153,0,0,0,0,0,0,0.9,0.928,0,0.992
PTPN11,FLT1,1852389,1846791,9606.ENSP00000340944,9606.ENSP00000282397,0,0,0,0,0,0.841,0.9,0.551,0,0.992
fluconazole,itraconazole,-100003365,-100003793,-1.CID100003365,-1.CID100003793,0,0,0,0,0,0.488,0,0.986,0,0.992
