GeneCard,Gene Name,Locus,Disorders
,,,mutations
,,,
ACE,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 ,17q23,
,,,"Myocardial infarction, susceptibility to"
,,,"Alzheimer disease, susceptibility to [MIM:104300]"
,,,Microvascular complications of diabetes 3 [MIM:612624]
,,,"Angiotensin I-converting enzyme, benign serum increase"
,,,"SARS, progression of"
,,,Renal tubular dysgenesis [MIM:267430]
,,,
ACF,Asymmetric crying facies (Cayler cardiofacial syndrome) ,22q11,
,,,Cayler cardiofacial syndrome
,,,
ACHE,acetylcholinesterase ,7q22,
,,,"Blood group, Yt system [MIM:112100]"
,,,
ACHM1,achromatopsia (rod monochromacy) 1 ,8q21-q22,
,,,Achromatopsia-3 [MIM:262300]
,,,"Macular degeneration, juvenile [MIM:248200]"
,,,
ACLS,acrocallosal syndrome ,7p13,
,,,Greig cephalopolysyndactyly syndrome [MIM:175700]
,,,Pallister-Hall syndrome [MIM:146510]
,,,"Polydactyly, preaxial, type IV [MIM:174700]"
,,,"Polydactyly, postaxial, types A1 and B [MIM:174200]"
,,,Acrocallosal syndrome [MIM:200990]
,,,"Hypothalamic hamartomas, somatic [MIM:241800]"
,,,
ACLY,ATP citrate lyase ,17q21.1,
,,,mutations
,,,
ACO2,"aconitase 2, mitochondrial ",22q11.21-q13.31,
,,,mutations
,,,
ACOX1,"acyl-CoA oxidase 1, palmitoyl ",17q25,
,,,Peroxisomal acyl-CoA oxidase deficiency [MIM:264470]
,,,
ACP2,"acid phosphatase 2, lysosomal ",11p12-p11,
,,,Lysosomal acid phosphatase deficiency [MIM:200950]
,,,
ACP5,"acid phosphatase 5, tartrate resistant ",19p13.3-p13.1,
,,,mutations
,,,
ACRPS,Acropectoral syndrome ,7q36,
,,,Acropectoral syndrome
,,,
ACRPV,Acropectorovertebral dysplasia (F syndrome) ,2q36,
,,,Acropectorovertebral dysplasia
,,,
ACR,acrosin ,22q13.3,
,,,Male infertility due to acrosin deficiency
,,,
ACSF3,acyl-CoA synthetase family member 3 ,?,
,,,mutations
,,,
ACSL4,acyl-CoA synthetase long-chain family member 4 ,Xq22.3,
,,,"Mental retardation, X-linked nonspecific, 63 [MIM:300387]"
,,,
ACSL5,acyl-CoA synthetase long-chain family member 5 ,10q25.1-q25.2,
,,,mutations
,,,
ACSL6,acyl-CoA synthetase long-chain family member 6 ,5q31,
,,,Myelodysplastic syndrome
,,,"Myelogenous leukemia, acute"
,,,
ACSM2B,acyl-CoA synthetase medium-chain family member 2B ,?,
,,,mutations
,,,
ACSM3,acyl-CoA synthetase medium-chain family member 3 ,16p13.11,
,,,"Hypertension, essential"
,,,
ACTA1,"actin, alpha 1, skeletal muscle ",1q42.1,
,,,"Myopathy, nemaline, 3 [MIM:161800]"
,,,"Myopathy, actin, congenital, with excess of thin myofilaments [MIM:161800]"
,,,"Myopathy, actin, congenital, with cores"
,,,"Myopathy, congenital, with fiber-type disproportion 1 [MIM:255310]"
,,,
ACTA2,"actin, alpha 2, smooth muscle, aorta ",10q22-q24,
,,,"Aortic aneurysm, familial thoracic 6 [MIM:611788]"
,,,
ACTB,"actin, beta ",7p22-p12,
,,,"Dystonia, juvenile-onset [MIM:607371]"
,,,
ACTC1,"actin, alpha, cardiac muscle 1 ",15q14,
,,,"Cardiomyopathy, dilated, 1R [MIM:613424]"
,,,"Cardiomyopathy, familial hypertrophic, 11 [MIM:612098]"
,,,Atrial septal defect 5 [MIM:612794]
,,,Left ventricular noncompaction 4 [MIM:613424]
,,,
ACTD,Acetabular dysplasia ,13q22,
,,,Acetabular dysplasia
,,,
ACTG1,"actin, gamma 1 ",17q25.3,
,,,"Deafness, autosomal dominant 20/26 [MIM:604717]"
,,,
ACTN2,"actinin, alpha 2 ",1q42-q43,
,,,"Cardiomyopathy, dilated, 1AA [MIM:612158]"
,,,
ACTN3,"actinin, alpha 3 ",11q13-q14,
,,,Alpha-actinin-3 deficiency
,,,Sprinting performance
,,,
ACTN4,"actinin, alpha 4 ",19q13,
,,,"Glomerulosclerosis, focal segmental, 1 [MIM:603278]"
,,,
ACT,actin-like protein (ACT) gene ,17p13-p12,
,,,mutations
,,,
ACVR1B,"activin A receptor, type IB ",12q13,
,,,"Pancreatic cancer, somatic"
,,,
ACVR1C,"activin A receptor, type IC ",2q24.1,
,,,mutations
,,,
ACVR1,"activin A receptor, type I ",2q23-q24,
,,,Fibrodysplasia ossificans progressiva [MIM:135100]
,,,
ACVR2B,"activin A receptor, type IIB ",3p22-p21.3,
,,,"Heterotaxy, visceral, 4, autosomal"
,,,
ACVRL1,activin A receptor type II-like 1 ,12q11-q14,
,,,"Telangiectasia, hereditary hemorrhagic, type 2 [MIM:600376]"
,,,
ACY1,aminoacylase 1 ,3p21.1,
,,,Aminoacylase 1 deficiency [MIM:609924]
,,,
AD10,Alzheimer disease-10 ,7q36,
,,,Alzheimer disease-10 [MIM:104300]
,,,
AD11,Alzheimer disease-11 ,9p22.1,
,,,Alzheimer disease-11
,,,
AD12,Alzheimer disease 12 ,8p12-q22,
,,,Alzheimer disease 12
,,,
AD13,Alzheimer disease-13 ,1q21,
,,,Alzheimer disease-13
,,,
AD14,Alzheimer disease 14 ,1q25,
,,,Alzheimer disease-14
,,,
AD15,Alzheimer disease-15 ,3q22-q24,
,,,Alzheimer disease-15
,,,
AD16,Alzheimer disease 16 ,Xq21.3,
,,,Alzheimer disease 16
,,,
AD5,Alzheimer disease 5 ,12p11.23-q13.12,
,,,Alzheimer disease-5 [MIM:104300]
,,,
AD6,Alzheimer disease 6 ,10q24,
,,,Alzheimer disease 6 [MIM:104300]
,,,
AD7,Alzheimer disease 7 ,10p13,
,,,Alzheimer disease-7
,,,
AD8,Alzheimer disease 8 ,20p,
,,,Alzheimer disease 8 [MIM:104300]
,,,
AD9,Alzheimer disease 9 ,19p13.2,
,,,"Alzheimer disease 9, late onset, susceptibility to [MIM:104300]"
,,,
ADAM10,ADAM metallopeptidase domain 10 ,15q21.3-q23,
,,,mutations
,,,
ADAM12,ADAM metallopeptidase domain 12 ,10q26.3,
,,,mutations
,,,
ADAM17,ADAM metallopeptidase domain 17 ,2p25,
,,,mutations
,,,
ADAM19,ADAM metallopeptidase domain 19 ,5q32-q33,
,,,mutations
,,,
ADAM33,ADAM metallopeptidase domain 33 ,20p13,
,,,mutations
,,,
ADAM7,ADAM metallopeptidase domain 7 ,8p12,
,,,mutations
,,,
ADAM9,ADAM metallopeptidase domain 9 ,8p11.23,
,,,Cone-rod dystrophy 9 [MIM:612775]
,,,
ADAMTS10,"ADAM metallopeptidase with thrombospondin type 1 motif, 10 ",19p13.3-p13.2,
,,,"Weill-Marchesani syndrome, recessive [MIM:277600]"
,,,
ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13 ",9q34,
,,,"Thrombotic thrombocytopenic purpura, familial [MIM:274150]"
,,,
ADAMTS16,"ADAM metallopeptidase with thrombospondin type 1 motif, 16 ",5p15,
,,,mutations
,,,
ADAMTS17,"ADAM metallopeptidase with thrombospondin type 1 motif, 17 ",15q24,
,,,Weill-Marchesani-like syndrome [MIM:613195]
,,,
ADAMTS18,"ADAM metallopeptidase with thrombospondin type 1 motif, 18 ",16q23,
,,,mutations
,,,
ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif, 2 ",5q23,
,,,"Ehlers-Danlos syndrome, type VIIC [MIM:225410]"
,,,
ADAMTSL2,ADAMTS-like 2 ,9q34.2,
,,,Geleophysic dysplasia [MIM:231050]
,,,
ADAMTSL3,ADAMTS-like 3 ,15q25.2,
,,,mutations
,,,
ADAMTSL4,ADAMTS-like 4 ,1q21,
,,,"Ectopia lentis, isolated, autosomal recessive [MIM:225100]"
,,,
ADARB1,"adenosine deaminase, RNA-specific, B1 ",21q22.3,
,,,mutations
,,,
ADAR,"adenosine deaminase, RNA-specific ",1q21.3,
,,,Dyschromatosis symmetrica hereditaria [MIM:127400]
,,,
ADA,adenosine deaminase ,20q13.11,
,,,Severe combined immunodeficiency due to ADA deficiency [MIM:102700]
,,,"Adenosine deaminase deficiency, partial [MIM:102700]"
,,,
ADCK3,aarF domain containing kinase 3 ,1q42.2,
,,,Coenzyme Q10 deficiency [MIM:607426]
,,,"Spinocerebellar ataxia, autosomal recessive 9 [MIM:612016]"
,,,
ADCY10,adenylate cyclase 10 (soluble) ,1q24,
,,,"Hypercalciuria, absorptive, susceptibility to [MIM:143870]"
,,,
ADCY3,adenylate cyclase 3 ,2p24-p22,
,,,mutations
,,,
ADCY5,adenylate cyclase 5 ,3q13.2-q21,
,,,mutations
,,,
ADCY6,adenylate cyclase 6 ,12q12-q13,
,,,mutations
,,,
ADCY9,adenylate cyclase 9 ,16p13.3,
,,,mutations
,,,
ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary) ,18p11,
,,,mutations
,,,
ADC,arginine decarboxylase ,?,
,,,mutations
,,,
ADD1,adducin 1 (alpha) ,4p16.3,
,,,"Hypertension, essential, salt-sensitive [MIM:145500]"
,,,
ADFN,albinism-deafness syndrome ,Xq26.3-q27.1,
,,,Albinism-deafness syndrome
,,,
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide ",4q22,
,,,"Alcoholism, susceptibility to [MIM:103780]"
,,,
ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide ",4q22,
,,,"Alcohol dependence, protection against [MIM:103780]"
,,,"Parkinson disease, susceptibility to [MIM:168600]"
,,,
ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide ",4q22,
,,,mutations
,,,
ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide ",4q21-q25,
,,,mutations
,,,
ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide ",4q23-q24,
,,,mutations
,,,
ADHD1,"Attention deficit-hyperactivity disorder, susceptibility to, 1 ",16p13,
,,,Attention deficit-hyperactivity disorder [MIM:143465]
,,,
ADHD2,"Attention deficit-hyperactivity disorder, susceptibility to, 2 ",17p11,
,,,Attention deficit-hyperactivity disorder [MIM:143465]
,,,
ADHD3,"Attention deficit-hyperactivity disorder, susceptibility to, 2 ",6q12,
,,,Attention deficit-hyperactivity disorder [MIM:143465]
,,,
ADHD4,"Attention deficit-hyperactivity disorder, susceptibility to, 4 ",5p13,
,,,Attention deficit-hyperactivity disorder [MIM:143465]
,,,
ADHD5,"Attention deficit-hyperactivity disorder, susceptibility to, 5 ",2q21.1,
,,,"Attention deficit-hyperactivity disorder, susceptibility to, 5"
,,,
ADHD6,"Attention deficit-hyperactivity disorder, susceptibility to, 6 ",13q12.11,
,,,"Attention deficit-hyperactivity disorder, susceptibility to, 6"
,,,
ADIPOQ,"adiponectin, C1Q and collagen domain containing ",3q27,
,,,Adiponectin deficiency [MIM:612556]
,,,
ADIPOR1,adiponectin receptor 1 ,1p36.13-q41,
,,,mutations
,,,
ADIPQTL4,"Adiponectin, serum level of, QTL4 ",11q23-q24,
,,,"Adiponectin, serum level of, QTL4"
,,,
ADK,adenosine kinase ,10q11-q24,
,,,mutations
,,,
ADM,adrenomedullin ,11p15.4,
,,,mutations
,,,
ADNP,activity-dependent neuroprotector homeobox ,?,
,,,mutations
,,,
ADORA1,adenosine A1 receptor ,1q32.1,
,,,mutations
,,,
ADORA2A,adenosine A2a receptor ,22q11.2,
,,,mutations
,,,
ADORA3,adenosine A3 receptor ,1p21-p13,
,,,mutations
,,,
ADRA1A,adrenoceptor alpha 1A ,8p21,
,,,mutations
,,,
ADRA2A,adrenoceptor alpha 2A ,10q24-q26,
,,,mutations
,,,
ADRA2B,adrenoceptor alpha 2B ,2q11.2,
,,,mutations
,,,
ADRA2C,adrenoceptor alpha 2C ,4p16.1,
,,,"Congestive heart failure and beta-blocker response, modifier of"
,,,
ADRB1,adrenoceptor beta 1 ,10q24-q26,
,,,Resting heart rate [MIM:607276]
,,,"Congestive heart failure and beta-blocker response, modifier of (3) 19"
,,,
ADRB2,"adrenoceptor beta 2, surface ",5q32-q34,
,,,"Asthma, nocturnal, susceptibility to [MIM:600807]"
,,,"Obesity, susceptibility to [MIM:601665]"
,,,"Beta-2-adrenoreceptor agonist, reduced response to (3) 18"
,,,
ADRB3,adrenoceptor beta 3 ,8p12-p11.2,
,,,"Obesity, susceptibility to [MIM:601665]"
,,,
ADRBK2,"adrenergic, beta, receptor kinase 2 ",22q11,
,,,mutations
,,,
ADSL,adenylosuccinate lyase ,22q13.1,
,,,Adenylosuccinase deficiency [MIM:103050]
,,,
AFA1,"Alopecia, androgenetic ",3q26,
,,,"Alopecia, androgenetic"
,,,
AFD1,"acrofacial dysostosis 1, Nager type ",9q32,
,,,"Acrofacial dysostosis, Nager type"
,,,
AFF2,"AF4/FMR2 family, member 2 ",Xq28,
,,,"Mental retardation, X-linked, FRAXE type [MIM:309548]"
,,,
AFF3,"AF4/FMR2 family, member 3 ",2q11.2-q12,
,,,mutations
,,,
AFG3L2,AFG3 ATPase family gene 3-like 2 (S. cerevisiae) ,18p11,
,,,Spinocerebellar ataxia 28 [MIM:610246]
,,,
AFP,alpha-fetoprotein ,4q11-q13,
,,,"AFP deficiency, congenital"
,,,Hereditary persistence of alpha-fetoprotein
,,,
AGA2,"Alopecia, androgenetic, 2 ",Xq11-q12,
,,,"Alopecia, androgenetic, 2"
,,,
AGA3,"Alopecia, androgenetic, 3 ",20p11.22,
,,,"Alopecia, androgenetic, 3"
,,,
AGA,aspartylglucosaminidase ,4q32-q33,
,,,Aspartylglucosaminuria [MIM:208400]
,,,
AGBL4,ATP/GTP binding protein-like 4 ,?,
,,,mutations
,,,
AGER,advanced glycosylation end product-specific receptor ,6p21.3,
,,,mutations
,,,
AGGF1,angiogenic factor with G patch and FHA domains 1 ,5q13.3,
,,,mutations
,,,
AGK,acylglycerol kinase ,7q34,
,,,mutations
,,,
AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase ",1p21,
,,,Glycogen storage disease IIIa [MIM:232400]
,,,Glycogen storage disease IIIb [MIM:232400]
,,,
AGMX2,"agammaglobulinemia, X-linked 2 (with growth hormone deficiency) ",Xp22,
,,,"Agammaglobulinemia, X-linked 2"
,,,
AGPAT2,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta) ",9q34.3,
,,,"Lipodystrophy, congenital generalized, type 1 [MIM:608594]"
,,,
AGPS,alkylglycerone phosphate synthase ,2q31,
,,,"Rhizomelic chondrodysplasia punctata, type 3 [MIM:600121]"
,,,
AGRN,agrin ,1pter-p32,
,,,"Myasthenia, limb-girdle, familial [MIM:254300]"
,,,
AGRP,agouti related protein homolog (mouse) ,16q22,
,,,"Obesity, late-onset [MIM:601665]"
,,,"Leanness, inherited"
,,,
AGSPX,Angio serpiginosum ,Xp11.3-q12,
,,,Angio serpiginosum
,,,
AGTR1,"angiotensin II receptor, type 1 ",3q21-q25,
,,,"Hypertension, essential [MIM:145500]"
,,,Renal tubular dysgenesis [MIM:267430]
,,,
AGTR2,"angiotensin II receptor, type 2 ",Xq22-q23,
,,,"Mental retardation, X-linked-88"
,,,
AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8) ",1q42-q43,
,,,"Hypertension, essential, susceptibility to [MIM:145500]"
,,,"Preeclampsia, susceptibility to"
,,,Renal tubular dysgenesis [MIM:267430]
,,,
AGXT2L1,alanine-glyoxylate aminotransferase 2-like 1 ,?,
,,,mutations
,,,
AGXT2,alanine--glyoxylate aminotransferase 2 ,5p13,
,,,mutations
,,,
AGXT,alanine-glyoxylate aminotransferase ,2q36-q37,
,,,"Hyperoxaluria, primary, type 1 [MIM:259900]"
,,,
AHCY,adenosylhomocysteinase ,20cen-q13.1,
,,,Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase
,,,
AHI1,Abelson helper integration site 1 ,6q23.3,
,,,Joubert syndrome-3 [MIM:608629]
,,,
AHRR,aryl-hydrocarbon receptor repressor ,5p15.3,
,,,mutations
,,,
AHR,aryl hydrocarbon receptor ,7p15,
,,,mutations
,,,
AHSG,alpha-2-HS-glycoprotein ,3q27,
,,,mutations
,,,
AHSP,alpha hemoglobin stabilizing protein ,16p11.2,
,,,mutations
,,,
AICDA,activation-induced cytidine deaminase ,12p13,
,,,"Immunodeficiency with hyper-IgM, type 2 [MIM:605258]"
,,,
AIC,Aicardi syndrome ,Xp22,
,,,Aicardi syndrome
,,,
AIF1,allograft inflammatory factor 1 ,6p21.3,
,,,mutations
,,,
AIFM1,"apoptosis-inducing factor, mitochondrion-associated, 1 ",Xq25-q26,
,,,Combined oxidative phosphorylation deficiency 6 [MIM:300816]
,,,
AIH3,"amelogenesis imperfecta 3, hypomaturation or hypoplastic type ",Xq22-q28,
,,,"Amelogenesis imperfecta-3, hypoplastic type"
,,,
AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 ,4q24,
,,,mutations
,,,
AIPL1,aryl hydrocarbon receptor interacting protein-like 1 ,17p13.1,
,,,Leber congenital amaurosis 4 [MIM:604393]
,,,"Retinitis pigmentosa, juvenile"
,,,Cone-rod dystrophy
,,,
AIP,aryl hydrocarbon receptor interacting protein ,11q13.3,
,,,"Pituitary adenoma, growth hormone-secreting [MIM:102200]"
,,,"Pituitary adenoma, prolactin-secreting [MIM:600634]"
,,,"Pituitary adenoma, ACTH-secreting [MIM:219090]"
,,,
AIRE,autoimmune regulator ,21q22.3,
,,,"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia [MIM:240300]"
,,,
AIR,Acute insulin response (2) ,1p31,
,,,Acute insulin response
,,,
AIS2,autoimmune susceptibility 2 ,7,
,,,"Autoimmune disease, susceptibility to, 2"
,,,
AIS3,autoimmune susceptibility 3 (vitiligo specific) ,8,
,,,"Autoimmune disease, susceptibility to, 3"
,,,
AIS4,"autoimmune disease, susceptibility to, 4 ",4q13-q21,
